Feature;Categoria;P-Valor;Significancia;N_Publica;N_Privada
tp_cor_raca;Não Dispõe;1,8552675803441872e-104;SIGNIFICATIVO;14198;30960
tp_cor_raca;Não Declarada;3,403623256692245e-116;SIGNIFICATIVO;20088;66213
tp_cor_raca;Branca;1,5589359250868764e-208;SIGNIFICATIVO;33916;81293
tp_cor_raca;Parda;2,381002380148817e-209;SIGNIFICATIVO;22723;44083
tp_cor_raca;Preta;2,5112158580577137e-68;SIGNIFICATIVO;7159;10246
tp_cor_raca;Amarela;1,748086997979108e-18;SIGNIFICATIVO;1511;3325
tp_cor_raca;Indígena;5,223972339169076e-09;SIGNIFICATIVO;517;1035
tp_sexo;Masculino;3,3310946610003054e-304;SIGNIFICATIVO;47324;99889
tp_sexo;Feminino;0,0;SIGNIFICATIVO;52788;137266
faixa_etaria;26 - 29;0,0;SIGNIFICATIVO;13153;35070
faixa_etaria;30 - 33;3,773669194338163e-187;SIGNIFICATIVO;6629;21448
faixa_etaria;18 - 21;1,1679319693397576e-21;SIGNIFICATIVO;34180;70825
faixa_etaria;46 - 49;1,5345746618602326e-26;SIGNIFICATIVO;1002;3362
faixa_etaria;38 - 41;6,826740090062267e-59;SIGNIFICATIVO;2364;8693
faixa_etaria;58 - 61;0,026896753959015154;SIGNIFICATIVO;192;500
faixa_etaria;22 - 25;0,0;SIGNIFICATIVO;35845;74056
faixa_etaria;34 - 37;1,292706124943931e-128;SIGNIFICATIVO;3925;14106
faixa_etaria;50 - 53;4,700160192135376e-20;SIGNIFICATIVO;689;2013
faixa_etaria;42 - 45;2,3168059752952624e-40;SIGNIFICATIVO;1623;5490
faixa_etaria;1 até 17;0,22959510403938477;Não sig.;31;83
faixa_etaria;62 - 65;0,009913313662858822;SIGNIFICATIVO;79;228
faixa_etaria;54 - 57;4,409925560002923e-13;SIGNIFICATIVO;367;1137
faixa_etaria;maior do que 65;0,0625517958444051;Não sig.;33;144
tp_escola_conclusao_ens_medio;Não Informado;7,274778569944069e-130;SIGNIFICATIVO;20300;53968
tp_escola_conclusao_ens_medio;Pública;0,0;SIGNIFICATIVO;46855;119931
tp_escola_conclusao_ens_medio;Privada;2,0917460782522995e-224;SIGNIFICATIVO;32957;63256
tp_grau_academico;Bacharelado;0,0;SIGNIFICATIVO;65339;202884
tp_grau_academico;Licenciatura;1,3405628893662019e-126;SIGNIFICATIVO;28329;20058
tp_grau_academico;Tecnológico;0,08182610569511363;Não sig.;5087;13847
tp_grau_academico;Outros;2,3636886903332983e-05;SIGNIFICATIVO;1357;366
no_regiao_ies;Sudeste;1,0651382863496996e-203;SIGNIFICATIVO;34018;120950
no_regiao_ies;Nordeste;0,0;SIGNIFICATIVO;30381;45379
no_regiao_ies;Centro_Oeste;1,6360295945587557e-48;SIGNIFICATIVO;9287;19834
no_regiao_ies;Norte;2,1713007508481035e-117;SIGNIFICATIVO;10682;13381
no_regiao_ies;Sul;0,00043633076788974145;SIGNIFICATIVO;15744;37611
nm_categoria;Ciências naturais, matemática e estatística;8,035528884248331e-05;SIGNIFICATIVO;5205;1455
nm_categoria;Educação;4,172448540618587e-127;SIGNIFICATIVO;28353;20119
nm_categoria;Negócios, administração e direito;7,944087061331239e-46;SIGNIFICATIVO;14408;95322
nm_categoria;Saúde e bem-estar;1,57474469251267e-20;SIGNIFICATIVO;12621;48459
nm_categoria;Agricultura, silvicultura, pesca e veterinária;5,209501694024097e-28;SIGNIFICATIVO;7004;5133
nm_categoria;Engenharia, produção e construção;2,4748969835218177e-143;SIGNIFICATIVO;18805;42776
nm_categoria;Ciências sociais, comunicação e informação;3,536157969398793e-132;SIGNIFICATIVO;7057;15270
nm_categoria;Serviços;0,0023858208398040565;SIGNIFICATIVO;1178;3009
nm_categoria;Programas básicos;0,6154587894455558;Não sig.;1346;7
nm_categoria;Artes e humanidades;2,3893824947417733e-16;SIGNIFICATIVO;3565;4259
nm_categoria;Computação e Tecnologias da Informação e Comunicação (TIC);1,7260261286233925e-07;SIGNIFICATIVO;570;1346
sigla_uf_curso;RJ;7,394602038478612e-50;SIGNIFICATIVO;8403;20855
sigla_uf_curso;SP;2,9125771167249605e-84;SIGNIFICATIVO;13633;68375
sigla_uf_curso;PB;4,6145886414599563e-57;SIGNIFICATIVO;3952;3155
sigla_uf_curso;MG;1,628206888491931e-37;SIGNIFICATIVO;10333;24852
sigla_uf_curso;DF;3,3885327008768367e-39;SIGNIFICATIVO;1975;6909
sigla_uf_curso;PE;6,250155371421793e-18;SIGNIFICATIVO;3957;8507
sigla_uf_curso;AM;9,093128475852394e-36;SIGNIFICATIVO;3114;4156
sigla_uf_curso;PA;5,594099399088043e-37;SIGNIFICATIVO;3613;3685
sigla_uf_curso;RN;4,631679819908209e-15;SIGNIFICATIVO;2666;3004
sigla_uf_curso;PR;5,398212733842182e-30;SIGNIFICATIVO;7062;12634
sigla_uf_curso;MA;2,9563013623538265e-137;SIGNIFICATIVO;3086;4202
sigla_uf_curso;GO;0,0008337992721819892;SIGNIFICATIVO;3325;7530
sigla_uf_curso;MT;5,681192162315002e-25;SIGNIFICATIVO;2332;4176
sigla_uf_curso;AL;1,9418758374708668e-42;SIGNIFICATIVO;2051;2410
sigla_uf_curso;RS;1,302806406121371e-20;SIGNIFICATIVO;5477;16028
sigla_uf_curso;BA;2,942404277714e-135;SIGNIFICATIVO;5879;11134
sigla_uf_curso;AC;1,3258094237841452e-08;SIGNIFICATIVO;617;707
sigla_uf_curso;TO;2,9027329817146858e-11;SIGNIFICATIVO;1387;1479
sigla_uf_curso;SE;7,875616751275129e-22;SIGNIFICATIVO;1580;2308
sigla_uf_curso;SC;4,1836361742907625e-20;SIGNIFICATIVO;3205;8949
sigla_uf_curso;CE;3,661753845284606e-52;SIGNIFICATIVO;4804;7986
sigla_uf_curso;MS;4,4151261166840695e-05;SIGNIFICATIVO;1655;2881
sigla_uf_curso;PI;2,4811177447360335e-08;SIGNIFICATIVO;2406;2976
sigla_uf_curso;ES;3,9115350280052183e-31;SIGNIFICATIVO;1649;4573
sigla_uf_curso;AP;2,5465670511843223e-14;SIGNIFICATIVO;696;1101
sigla_uf_curso;RO;5,677823680710875e-10;SIGNIFICATIVO;665;2067
sigla_uf_curso;RR;5,437601430771813e-13;SIGNIFICATIVO;590;516
